Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=1530 | loss=4.7595 | lr=4.94e-04 | tok/s=434778 | 151ms/step | elapsed 3.8m | time left 6.2m
step=1540 | loss=4.6094 | lr=4.93e-04 | tok/s=533836 | 123ms/step | elapsed 3.8m | time left 6.2m
step=1550 | loss=4.7152 | lr=4.91e-04 | tok/s=446450 | 147ms/step | elapsed 3.9m | time left 6.1m
step=1560 | loss=4.8261 | lr=4.90e-04 | tok/s=465793 | 141ms/step | elapsed 3.9m | time left 6.1m
step=1570 | loss=4.7181 | lr=4.89e-04 | tok/s=427121 | 153ms/step | elapsed 3.9m | time left 6.1m
step=1580 | loss=4.7257 | lr=4.87e-04 | tok/s=556346 | 118ms/step | elapsed 3.9m | time left 6.1m
step=1590 | loss=4.7500 | lr=4.86e-04 | tok/s=461296 | 142ms/step | elapsed 3.9m | time left 6.1m
step=1600 | loss=4.6518 | lr=4.84e-04 | tok/s=459847 | 143ms/step | elapsed 4.0m | time left 6.0m
step=1610 | loss=4.6255 | lr=4.83e-04 | tok/s=507291 | 129ms/step | elapsed 4.0m | time left 6.0m
step=1620 | loss=4.6214 | lr=4.82e-04 | tok/s=541667 | 121ms/step | elapsed 4.0m | time left 6.0m
step=1630 | loss=4.8650 | lr=4.80e-04 | tok/s=524296 | 125ms/step | elapsed 4.0m | time left 6.0m
step=1640 | loss=4.7815 | lr=4.79e-04 | tok/s=475911 | 138ms/step | elapsed 4.1m | time left 5.9m
step=1650 | loss=4.7685 | lr=4.77e-04 | tok/s=498349 | 132ms/step | elapsed 4.1m | time left 5.9m
step=1660 | loss=4.8635 | lr=4.76e-04 | tok/s=582650 | 112ms/step | elapsed 4.1m | time left 5.9m
step=1670 | loss=4.7976 | lr=4.74e-04 | tok/s=510805 | 128ms/step | elapsed 4.1m | time left 5.9m
step=1680 | loss=4.7751 | lr=4.73e-04 | tok/s=560148 | 117ms/step | elapsed 4.1m | time left 5.9m
step=1690 | loss=4.8798 | lr=4.71e-04 | tok/s=470470 | 139ms/step | elapsed 4.2m | time left 5.8m
step=1700 | loss=4.5815 | lr=4.70e-04 | tok/s=574142 | 114ms/step | elapsed 4.2m | time left 5.8m
step=1710 | loss=4.6976 | lr=4.68e-04 | tok/s=535104 | 122ms/step | elapsed 4.2m | time left 5.8m
step=1720 | loss=4.7515 | lr=4.67e-04 | tok/s=511272 | 128ms/step | elapsed 4.2m | time left 5.8m
step=1730 | loss=4.7718 | lr=4.65e-04 | tok/s=500495 | 131ms/step | elapsed 4.2m | time left 5.8m
step=1740 | loss=4.6313 | lr=4.64e-04 | tok/s=538269 | 122ms/step | elapsed 4.3m | time left 5.7m
step=1750 | loss=4.7598 | lr=4.62e-04 | tok/s=535105 | 122ms/step | elapsed 4.3m | time left 5.7m
step=1760 | loss=4.7671 | lr=4.61e-04 | tok/s=524564 | 125ms/step | elapsed 4.3m | time left 5.7m
step=1770 | loss=4.8138 | lr=4.59e-04 | tok/s=487564 | 134ms/step | elapsed 4.3m | time left 5.7m
step=1780 | loss=4.6628 | lr=4.58e-04 | tok/s=527122 | 124ms/step | elapsed 4.3m | time left 5.7m
step=1790 | loss=4.5864 | lr=4.56e-04 | tok/s=438888 | 149ms/step | elapsed 4.4m | time left 5.6m
step=1800 | loss=4.7941 | lr=4.55e-04 | tok/s=582378 | 113ms/step | elapsed 4.4m | time left 5.6m
step=1810 | loss=4.6622 | lr=4.53e-04 | tok/s=544297 | 120ms/step | elapsed 4.4m | time left 5.6m
step=1820 | loss=4.4674 | lr=4.52e-04 | tok/s=561345 | 117ms/step | elapsed 4.4m | time left 5.6m
step=1830 | loss=4.6549 | lr=4.50e-04 | tok/s=530719 | 123ms/step | elapsed 4.5m | time left 5.5m
step=1840 | loss=4.5644 | lr=4.49e-04 | tok/s=546664 | 120ms/step | elapsed 4.5m | time left 5.5m
step=1850 | loss=4.5963 | lr=4.47e-04 | tok/s=514680 | 127ms/step | elapsed 4.5m | time left 5.5m
step=1860 | loss=4.7890 | lr=4.46e-04 | tok/s=436172 | 150ms/step | elapsed 4.5m | time left 5.5m
step=1870 | loss=4.6654 | lr=4.44e-04 | tok/s=595826 | 110ms/step | elapsed 4.5m | time left 5.5m
step=1880 | loss=4.7839 | lr=4.42e-04 | tok/s=505112 | 130ms/step | elapsed 4.6m | time left 5.4m
step=1890 | loss=4.6877 | lr=4.41e-04 | tok/s=609179 | 108ms/step | elapsed 4.6m | time left 5.4m
step=1900 | loss=4.4376 | lr=4.39e-04 | tok/s=576779 | 114ms/step | elapsed 4.6m | time left 5.4m
step=1910 | loss=4.7098 | lr=4.38e-04 | tok/s=504830 | 130ms/step | elapsed 4.6m | time left 5.4m
step=1920 | loss=4.5654 | lr=4.36e-04 | tok/s=505461 | 130ms/step | elapsed 4.6m | time left 5.4m
step=1930 | loss=4.4935 | lr=4.35e-04 | tok/s=462454 | 142ms/step | elapsed 4.7m | time left 5.3m
step=1940 | loss=4.6188 | lr=4.33e-04 | tok/s=474752 | 138ms/step | elapsed 4.7m | time left 5.3m
step=1950 | loss=4.4949 | lr=4.31e-04 | tok/s=544389 | 120ms/step | elapsed 4.7m | time left 5.3m
step=1960 | loss=4.7358 | lr=4.30e-04 | tok/s=527072 | 124ms/step | elapsed 4.7m | time left 5.3m
step=1970 | loss=4.7917 | lr=4.28e-04 | tok/s=502095 | 131ms/step | elapsed 4.7m | time left 5.3m
